,year,type,engine,number
368,2018,Taxis,Petrol,53
369,2018,Taxis,Diesel,15089
370,2018,Taxis,Petrol-Electric,5337
371,2018,Taxis,Petrol-CNG,0
372,2018,Taxis,CNG,0
373,2018,Taxis,Electric,102
374,2018,Motorcycles,Petrol,136840
375,2018,Motorcycles,Electric,2
376,2018,Goods and Other Vehicles,Petrol,4879
377,2018,Goods and Other Vehicles,Diesel,136478
378,2018,Goods and Other Vehicles,Petrol-Electric,1
379,2018,Goods and Other Vehicles,Petrol-CNG,2
380,2018,Goods and Other Vehicles,CNG,2
381,2018,Goods and Other Vehicles,Electric,39
382,2018,Goods and Other Vehicles,Diesel-Electric,7
383,2018,Buses,Petrol,33
384,2018,Buses,Diesel,18875
385,2018,Buses,Petrol-Electric,0
386,2018,Buses,Petrol-CNG,0
387,2018,Buses,CNG,12
388,2018,Buses,Electric,4
389,2018,Buses,Diesel-Electric,23
